Word	English	MTB Examples	BT Examples MN	BT Examples EN	BT Examples	audio	Count	ID
ман						[sound:55912.mp3]	2359	55912
болгох	to reduce	"- Их хүрээг улсын нийслэл болгосныг тод томоор бичиж наалдуулан “түмэн сонсогтун” хэмээн зарлахаар бэлдэв.
 - Эгчийгээ багш болгоно. Дүүгээ эмч болгоно.
 - Наадахыгаа ганц сайн болгоод өгөөрэй."	үнэт цаасыг бэлэн мөнгө болгох	to convert securities into cash	<p>улаан нялга болгох: to cause bruise</p><p>хөдөлмөрийн чадваргүй болгох: to cause the disability</p><p>хов жив болгох: cause tongues to wag</p><p>золиос болгох: to make sacrifice</p><p>тоглоом наадам болгох: to make fun of</p><p>найдвартай болгох: to make secure</p><p>үнэт цаасыг бэлэн мөнгө болгох: to convert securities into cash</p>	[sound:14415.mp3]	2310	14415
дэмжих	to encourage	 - Хааяа энд ирдэг Дорж бол 	хүсэлтийг дэмжих	to support a claim	<p>экспортыг дэмжих: to encourage exports</p><p>харилцааг дэмжих: to maintain contact</p><p>дэлхийн энх тайван байдлыг дэмжих: to promote world peace</p><p>шинэ бизнесийг дэмжих: to promote a new business</p><p>парламентад хуулийн төслийг дэмжих: to promote a bill in parliament</p><p>зардлыг бууруулах явдлыг дэмжих: to advocate reducing expenditure</p><p>урагшлахад нь дэмжих: further one's interest</p><p>яриаг дэмжих: to sustain a conversation</p><p>оролдлогыг дэмжих: to sustain an attempt</p><p>менежмент дэмжих систем: management support system</p><p>хүсэлтийг дэмжих: to support a claim</p>	[sound:38283.mp3]	2307	38283
ихэнх	mass	Энэ морин дивизийн ихэнх хүн Дон, Кубанын казакууд билээ.	ихэнх нь болох	to be prevalent	<p>өргөдөл гаргагчдын ихэнх: the bulk of applicants</p><p>дүнгийн ихэнх хэсэг: bulk of an amount</p><p>ихэнх нь болох: to be prevalent</p>	[sound:53166.mp3]	2303	53166
эсвэл	or	 Малчин эсвэл загасчин, уурхайчин хэн ч үнэнч сайн нөхрөө үеийн үед дурсан санаж яваарай	хөрөнгө эсвэл өр төлбөрийн татварын суурь	tax base of an asset or liability	<p>хөрөнгө эсвэл өр төлбөрийн татварын суурь: tax base of an asset or liability</p>	[sound:137466.mp3]	2265	137466
хэрэгжүүлэх	to implement	- Даргын санаачлан зохиож байгаа ажлын тэргүүний арга туршлагаас өөр 	хууль ёсыг хэрэгжүүлэх	to dispense justice	<p>зааврыг хэрэгжүүлэх: to implement the instructions</p><p>төсөл хэрэгжүүлэх: to implement a project</p><p>төлөвлөгөөг хэрэгжүүлэх: to execute a plan</p><p>хууль ёсыг хэрэгжүүлэх: to dispense justice</p>	[sound:120664.mp3]	2224	120664
сөрөг	negatively	"Наран сөрөг нүд гялбуулсан голын ус үргэлж инээмсэглэх мэт тасралтгүй мяралзан... байв.
Намрын адууг салхин сөрөг бэлчээх хэрэгтэй.
Гэтэл тийм биш, тулалдаанд морин армийн наян гуравдугаар дивиз сөрөг довтолгоонд орж байсан юм."	сөрөг хүчний төлөвлөгөөг нураах	to hamstring the opposition's plans	<p>сөрөг хандлага: a negative attitude</p><p>сөрөг хариу: a negative reply</p><p>сөрөг туйл: the negative pole</p><p>сөрөг хүчинтэй тулгарах: to meet with opposition</p><p>сөрөг хүчнийг устгах: to demolish the opposition</p><p>сөрөг хүчний төлөвлөгөөг нураах: to hamstring the opposition's plans</p>	[sound:78822.mp3]	2194	78822
хэвлэл	issue	"Түүний нэгэн гэрч хэвлэлд монгол утга зохиолын зүйлийг судлагч 
 Сүүлийн үес утга зохиол уран сайхны шүүмжлэлийн талаар манай уран бүтээлчид сонин хэвлэлийн хуудаснаа өргөн яриа явуулав.
Эрт хатуурдаг учраас намар малд онцгүй гэж зарим ном хэвлэлд бичсэн байдаг.
- Сонин хэвлэл дээрээс чи зургийг нь харсан ч байж магадгүй гээд хувинтай усаа ган руугаа цул хийтэл хөнтөрснөө алсыг ширтэн исгэрлээ.
 Үүний тэргүүн хэсэгт, тэр үед хэвлэлийн газраа үсэг өрөгч байсан Сүхбаатар байв.
 Тэнд монгол улсын шастир хууль зүйлийн бичгийг дармаллах газар байгуулан, дөрвөн газар байсан хэвлэлийн машинуудыг татан авчирчээ.
 Энд хамтын нислэгт хэрхэн бэлтгэж байгаа тухай хэвлэлийн бага хурал болов."	нууц хэвлэл	hedge press	<p>нууц хэвлэл: hedge press</p>	[sound:119097.mp3]	2193	119097
нэгж	unit	Харин Монголд өмнө дурдсан өвөрмөц 	нэгж барааны үнэ	price per unit of goods	<p>бүрэн хорогдуулсан нэгж хувьцаанд ногдох ашиг: Fully diluted earnings per share</p><p>нэгж хувьцааны нэрлэсэн үнэ: par value per share</p><p>нэгж хувьцаанд ногдох ашиг: Earnings per share</p><p>тооцооны мөнгөн нэгж: unit of account</p><p>хэмжих нэгж: unit of measures</p><p>нэгж барааны үнэ: price per unit of goods</p>	[sound:65182.mp3]	2166	65182
дүн	mark	"Үүнийг нүүдэлчдийн дунд тарааж, нам засгийн бодлогыг сурталчилж байгаагаас багагүй үр дүн гарна гэж би бодож байна.
Эр хүн, малын хайр, буян даахуйц дүн нуруу, сэтгэлийн нүнжиг бэлтэй явах нь 
- Луна-16 станцын авчирсан сарны хөрсний шинжилгээний дүн гарсан уу?
Үхсэн хойноо… Үүний дэслэгчийн хоёр жижиг таван хошуу миний ахлагчийн торгон саа дүндээ дүн шүү дээ гэж хэрэндээ шар хөдөлж, тэндээс урамгүй гарлаа.
Өө нээрээ, 
Дэвтрийн хуудсыг цоортол баллан сохолж, шал буруу бодсон өчнөөн тоо… Тэр дэвтрүүд бол нэгдүгээр улирлын дүн гаргах гэж хүүхдүүдээр бодуулсан тооны шалгалтын ажил байлаа. 
Багш дүн тавих гээд болж өгөхгүй болохоор нь босож цонхоор харж зогсов.
Борзооны уршгаар би анх удаагаа ингэж тооны хичээл дээр муу дүн авлаа. 
- Хоёр дахь хүү нь өнгөрсөн зун арван жилийн сургууль онц дүнтэй төгссөн авч өөрийн хүслээр мөн хөдөө мал дээр гарчээ."	нийт дүн 1000 доллар	the sum comes to 1000 dollar	<p>хангалтгүй дүн: bad mark</p><p>бэлэн мөнгөний дүн хэмжээ: amount of cash</p><p>дахин илэрхийлэх дүн: Amount to be restated</p><p>яг таг дүн: a precise amount</p><p>боломжийн үр дүн: the probable result</p><p>өнгөрсөн үйл явдлын үр дүн: result of past events</p><p>сонгуулийн дүн: an elelction result</p><p>эргэлтийн хөрөнгийн нийт дүн: sum of current assets</p><p>мөнгөн дүн үсгээр: sum in words</p><p>нийт дүн 1000 доллар: the sum comes to 1000 dollar</p>	[sound:36650.mp3]	2160	36650
ийнхүү	such as this	Түүний дээр нь нэгэн эр ийнхүү олон үг өгүүлж бүжиг бүжиглэмүй.				[sound:51771.mp3]	2155	51771
яам	ministry	"Тэр яам тамга чинь түлээ түлшээр тасарсан ч гал алдаад цучил ч үгүй баларч байгаа юм.
Магсаржавыг даруй ирж, цэргийн яамны "	гадаад явдлын яам	the foreign office	<p>Сангийн яам: Ministry of Finance</p><p>гадаад явдлын яам: Ministry of Foreign affairs</p><p>эрүүл мэндийн яам: Ministry of Health</p><p>гадаад явдлын яам: the Foreign Office</p>	[sound:138173.mp3]	2133	138173
олгох	issue	Бат илэрхийлэх тэмдэгт бичиг шийтгэн олгов.	хэн нэгэнд зөвшөөрөл олгох	to accord smb. permission	<p>аккредетив олгох: issue of letter of credit</p><p>зээл олгох: to grant credit</p><p>зээл олгох: to grant credit</p><p>патентын эрх олгох: to grant a patent</p><p>зөвшөөрөл олгох: to give permission</p><p>эрх чөлөө олгох: give one a free hand</p><p>юу дуртайгаа хийх боломж олгох: give free rein to</p><p>зөвшөөрөл олгох: to give permission</p><p>орох зөвшөөрөл олгох: to allow to enter</p><p>зээл олгох: to allot credits</p><p>патентын эрх олгох: to grant a patent</p><p>эрх мэдэл олгох: vest sth. in one</p><p>хэн нэгэнд зөвшөөрөл олгох: to accord smb. permission</p>	[sound:67392.mp3]	2113	67392
бизнес	business		бизнес эрхлэх	to run business	<p>бохир бизнес: miry business</p><p>бизнес эрхлэх: conduct of a business</p><p>бизнес эрхлэх: to run business</p>	[sound:13339.mp3]	2049	13339
орлого	return	Иймд ан гөрөөсөө хамгаалан хямгадаж ашигтайгаар агнаж, улс эх орондоо их орлого оруулах нь чухал болно.	борлуулалтын орлого	current sale proceeds	<p>тайлангийн хугацааны орлого (нийт ашиг): Current period revenue (gross profit)</p><p>ирээдүй үеийн орлого: pre collected revenue</p><p>дотоодын төсвийн орлого: inland revenue</p><p>орлого зарлагын зөрүү: the gap between expenses and income</p><p>торгуулийн орлого: income from penalties</p><p>орлого зарлагын баланс: balance of income and expenditure</p><p>ашиг орлого олох: turn a profit</p><p>ашиг орлого олох: to clear a profit</p><p>орлого зарлагын тайлан: profit and loss account</p><p>орлого ба зарлага: debit and credit</p><p>өмчийн нийт орлого: gross yield of property</p><p>татвар төлсний дараах орлого: after tax earnings</p><p>гадаад валютын гүйлгээний орлого: foreign exchange earnings</p><p>аж ахуйн нэгжийн орлого: earnings of the entity</p><p>ашиг орлого олох: to derive benefit from</p><p>хууль бус орлого: proceeds of crime</p><p>мөнгөн орлого: proceeds in cash</p><p>борлуулалтын орлого: current sale proceeds</p>	[sound:68916.mp3]	2046	68916
хүртэлх	teen-age	- Хавраас намар хүртэлх ганцхан улирлын хугацаанд хүний бие бялдар, зүс царай төдий л 				[sound:118125.mp3]	2034	118125
бууруулах	to reduce	" - Дамбий лав л 
- Элдэв өө сэв эрж голох зэргээр үнийг бууруулан наймаацалджээ."	зоосны үнэ цэнийг бууруулах	to debase coins	<p>татварыг бууруулах: to reduce taxation</p><p>хурдыг бууруулах: to reduce speed</p><p>валютын ханш бууруулах: to reduce the exchange rate</p><p>хүч чадлыг бууруулах: to diminish the strength</p><p>валютын үнийг бууруулах: to diminish a currency value</p><p>ядуурлыг бууруулах: to relieve poverty</p><p>ажилтныг тушаал бууруулах: to down-grade the officers</p><p>амжилтыг бууруулах: to down-grade the achiement</p><p>зоосны үнэ цэнийг бууруулах: to debase coins</p>	[sound:18271.mp3]	1995	18271
болохгүй	nix	" - Маа гүн минь эм хүн гэдэг итгэж болохгүй улс юм.
- Тэр хүний буян заяа маш их тул над мэтийн хүн түүний гэгээн царай өөд "				[sound:14747.mp3]	1976	14747
ашиг	get	"Арван сая төгрөгийн цэвэр ашиг олжээ.
Ажлаа хамт хийчихээд 
Амин хувийн ашиг завшаан хайсан арга зальтай юм.
шиг нэрийг эрхэмлэх болсонд ач хөвгүүд баатрууд мөн арслан адил омогшино.
Сав суулга дархлан хийж, ашиг олбор арвин болсон.
Өнөө эзэддээ хөнөөл бологч ашиг олзыг биестээ оруулжээ.
Хүн юуг ч гаршуулж, тэтгэн тэжээж, ашиг хишгийг нь хүртэж болно.
Хараахан өөрийн хэрэг нь ашиг холбогдол үлэмжхэн тул явахаа больжээ.
- Ашиг хонжоотой бол ямар ч хэрэг хийхээс буцахгүй.
Ашиг эдийн тул худалдаачдыг дээрэмддэг.
Хот орсон минь ашиг болов. "	тогтворгүй хөрөнгөнд ногдох ашиг	return on permanent capital	<p>хөрөнгө оруулалтаас чамгүй ашиг олох: to get a good return on an investment</p><p>хөрөнгө оруулалтад ноогдох ашиг: return on investment</p><p>хөрөнгө оруулалтаас чамгүй ашиг олох: to get a good return on an investment</p><p>татварын өмнөх санхүүгийн ашиг: Pretax financial income</p><p>хувиар илэрхийлэгдсэн цэвэр ашиг: net income percentage</p><p>энгийн хувьцаанд ногдох боломжтой цэвэр ашиг: Net income identified with common stock</p><p>ашиг орлого олох: to clear a profit</p><p>цэвэр ашиг: a clear profit</p><p>ашиг орлого олох: turn a profit</p><p>мөнгөөр илэрхийлсэн ерөнхий үр ашиг: value of benefits-</p><p>мөнгөний ашиг тус: utility of money</p><p>ашиг орлого олох: to derive benefit from</p><p>бүрэн хорогдуулсан нэгж хувьцаанд ногдох ашиг: Fully diluted earnings per share</p><p>нэгж хувьцаанд ногдох цэвэр ашиг: earnings per share</p><p>нэгж хувьцаанд ногдох ашиг: Earnings per share</p><p>хүү, эрхийн төлбөр ба ноогдол ашиг: interest, royalties and dividends</p><p>Үр ашиг хүүгийн арга: Effective interest method</p><p>хүү болон татварын өмнөх ашиг: earnings before interest and taxes</p><p>бүрэн хорогдуулсан нэгж хувьцаанд ногдох ашиг: Fully diluted earnings per share</p><p>хязгаарлалттай хуримтлагдсан ашиг: Restricted retained earnings</p><p>нэгж хувьцаанд ногдох ашиг: Earnings per share</p><p>хувиар илэрхийлэгдсэн нийт ашиг: gross margin percentage</p><p>ашиг алдагдал: gain and loss</p><p>үндсэн хөрөнгө устгалын ашиг алдагдал: gain or loss of disposition of plant</p><p>судалгаа хийж ашиг олох: to gain profit from one's studies</p><p>тогтворгүй хөрөнгөнд ногдох ашиг: return on permanent capital</p>	[sound:8661.mp3]	1973	8661
дэмжлэг	support	"Ноёны тааламжийг хүлээсэн тэр бөх 
 - Шинэ тогтож байгаа засаг төрд дэмжлэг хэрэгтэй.
Энэ үгийг Батбаяр сонсоод “Бид эднээс тус дэмжлэг горилж явахад эд биднийг тус болно гэж байх ямар учиртай билээ” гэж гайхан бодож суув.
Хоёрдугаарт, ардын засаг бол улаан орос улстай дотно барилдалгаатай болж түүнээс тусламж дэмжлэг авч байна."	сургуулиасаа дэмжлэг авах	to have the school's backing	<p>шийдвэрт дэмжлэг үзүүлэх систем: decision support system</p><p>дэмжлэг үзүүлэх баталгаа: affidavit of support</p><p>гэр бүлд дэмжлэг үзүүлэх: support to family</p><p>эдийн засаг болон улс төрийн хувьд ашигтай дэмжлэг: aid with strings</p><p>дэмжлэг туслалцаа хүсэх: to ask a favour</p><p>засгийн газрын тусламж дэмжлэг: government assistance</p><p>сургуулиасаа дэмжлэг авах: to have the school's backing</p>	[sound:38287.mp3]	1970	38287
авто	auto	 Хээрийн бригад, нүүдлийн авто клуб ажиллуулжээ. “				[sound:1200.mp3]	1955	1200
долдугаар	seventeenth	"- Долдугаар галт тэрэгний аравдугаар суудал.
."				[sound:33441.mp3]	1938	33441
ахуй	life	 Ахуйн үйлчилгээ сайжирлаа.				[sound:8392.mp3]	1912	8392
үл	no	"Үүний төлөө монгол хүн зүтгэхээр үл барам үхэж байх бол хувь заяа нь гэж үзнэ.
Зуны цагт дамнуурчны таван гудамжийн шавар үлэмж, үнэр ханхлах нь үнэхээр түмэн багц хүжийг шатаавч үл дарагдмаар.
Утасны модод үл мэдэг гиншин улих нь хийлийн 
Цагаандай царай нь үл мэдэг ягаарснаа тонгойсон хэвээрээ босож хоолойгоо засав."	үл тоомсорлох	leave someone out in the cold	<p>үл тоох: leave one in the cold</p><p>үл хайхран: in spite of</p><p>үл тоомсорлох: leave someone out in the cold</p>	[sound:100139.mp3]	1901	100139
эргэн	ambitus	" Хашааны гадуур 
 Эргэн тойрон сайн хар! сайн хар! гэлээ."				[sound:136843.mp3]	1883	136843
болзошгүй	indefinitely	- Холын өндөр ууланд бороо орж эхэллээ хоёр нэгэн цаг болоод үүгээр орох ч болзошгүй.	болзошгүй гарздал нөхөх нөөц	reserve for probable losses	<p>болзошгүй хамгийн их хохирол: probable maximum loss</p><p>болзошгүй гарздал нөхөх нөөц: reserve for probable losses</p>	[sound:14504.mp3]	1875	14504
болгон	each		өдөр болгон усанд орох	to bath every day	<p>өдөр болгон усанд орох: to bath every day</p>	[sound:141424.mp3]	1872	141424
жилд	annually					[sound:42677.mp3]	1860	42677
хатуу	hard	"Ааш араншин цаг төрийн аясыг даган хувирдгийг ойлгож, хуурай хэчнээн хатуу боловч 
Бет улсыг дайлан арилгах хатуу зөөлөн нарийн бүдүүн аргыг зөвдөн тогтоож айлтгасан хойно жич бэлгийг хүлэн авсугай.
 Хэрэв чамайг дахиад муу явдал гаргавал хатуу цээрлүүлнэ гэлээ.
- Дурлал ухаан хоёр ингэж дуугүй өрсөн жолоо шүүрэхүй, нэхэл хатуу хайрын сэтгэлийг нэгдлийн адуучин дийлэх юм даа.
 Урьд Тан улсын тэдний эсэргүүцэл болсонд энэ мэт алснаар тэд эдүгээ цаазыг хатуу чанга болгосон ажгуу.
Хаврын хатуу цагаар цэргүүдийн зарим нь муусайн илгэн дээл, цув ... зэрэг хувцастай.
Цоросбай, Сатай хоёр энэ зуны сайхан, газрын гарц сайн байгаа, адуу мал өнгөрсөн өвлийн хатуу хахирт зүдэрч туйлдсан зэргийг ярилцана.
 - Хатуу ширүүн үгсэд харин ч тус үлэмж.
Харин хүү бид хоёр л чамайг эзгүйд яаж хөглөдөг улс байгаа юм, би гэрт, энэ маань гадаа мануухай болоод байж дөнгөх л байгаа даа гэж эмгэний хэлэхэд хүү нь хатуу амтай ээждээ энэ удаа эгдүүцсэнгүй
- Дамдин өвгөний сэтгэл ихэд догдлон хөдөлж, ам хатуутай арилжаа бор мориндоо хазгай сууж барааны газар өөд цахилан давхихад Наран хол хоцорчхов.
“Уурга бариад гурван сар болоогүй байж хамаг адуугаараа загас дайлчих дөхлөө. Адуу маллана гэдэг ч хатуухан хоол шив дээ” гэж боджээ.
 Үгүй, та ямар юманд ингэж бэлтгээд байгаа юм бэ? - Та чинь жаахан хатуу 
Чи л нэг эднийг сайн атгаж, хүзүүг нь сунгаж байгаад хүн болгох хэрэгтэй шүү. Мөн ч чих хатуутай гэж мэдээрэй! гэж Намдаг үглэн захилаа.
 "	хатуу чанга хуваарь	a tight schedule	<p>хатуу журам: hard and fast rule</p><p>боржин шиг хатуу: as hard as granite</p><p>хатуу: hard as nail</p><p>хатуу хөрс: compact soil</p><p>хатуу газар: solid ground</p><p>хатуу бөмбөлөг: solid globe</p><p>хатуу хана: a solid wall</p><p>хатуу сахилга бат: stern discipline</p><p>хатуу ширүүн цаг үе: stern times</p><p>хатуу журам: hard and fast rule</p><p>хатуу шүүгч: a strict judge</p><p>хатуу чанга шаардлагатай эцэг эхчүүд: strict parents</p><p>хатуу чанга хуулиуд: strict laws</p><p>хатуу арга хэмжээ: a harsh measure</p><p>хатуу ширүүн шийтгэл: a harsh punishment</p><p>хатуу ширүүн нөхцөл: harsh conditions</p><p>хатуу шийдэх: to be grimly determined</p><p>хатуу бодис: a tough substance</p><p>хатуу хяналт: the tight control</p><p>хатуу чанга хуваарь: a tight schedule</p>	[sound:107592.mp3]	1849	107592
судалгаа	research	"Хүү минь гадаадад дэд эрдэмтний зэрэг 
Онд явуулсан шинжилгээ судалгааны баримт сэлтээс үзэхэд газар тариалангаас ашиглаж болох малын тэжээл сая тонн гэж тогтоогдсон ажээ."	байгууллага албан газрын судалгаа	institution and agency analysis	<p>судалгаа шинжилгээний болон сайжруулах талаарх гэрээ: research and development contract</p><p>маркетингийн судалгаа шинжилгээний систем: Marketing Analysis Research System</p><p>нарийн судалгаа: careful research</p><p>нарийн судалгаа: a thorough investigation</p><p>стандарт хэмжээг тогтооход чиглэсэн судалгаа: benchmark survey</p><p>хүн ам зүйн судалгаа: demographic survey</p><p>хохирлын хяналтын судалгаа: loss control survey</p><p>маркетингийн судалгаа шинжилгээний систем: Marketing Analysis Research System</p><p>Байгууллага албан газрын судалгаа: Institution and agency analysis</p>	[sound:79167.mp3]	1841	79167
эрчим	power		боломжтой эрчим хүч	potential energy	<p>эрчим хүчний станц: power station</p><p>дулааны эрчим хүч: thermal energy</p><p>боломжтой эрчим хүч: potential energy</p>	[sound:137266.mp3]	1815	137266
үнэт	precious	Энэ хоёр үнэт эрдэнийг нийлүүлж бөгж цохиулбал лус баярлаж ус долгилно.	үнэт зураг	a valuable painting	<p>үнэт металл: the precious metals</p><p>үнэт эрдэнийн чулуу: the precious stones</p><p>үнэт зураг: a valuable painting</p>	[sound:100862.mp3]	1807	100862
харж	laugh out of the other side of one's mouth					[sound:106652.mp3]	1796	106652
дархан	smith	"Усан мандалд ганхах 
Гэрийн хоймор эл хуль, баруун талд дархны багаж дэлгээстэй, жижиг сум модон ширээн дээр өөд нь харуулж тавьсан мөнгөн аяганы ирмэг галын гэрэлд гялалзан харагдана.
Лувсан гуайн гэр, түүний хавь газар ямар нэгэн дархны газар шиг санагдана.
Тэр шар сүмийн хамба ламын хамаг үнэтэй цайтай алт мөнгөний дархан хийж амьдардаг байжээ.
- Хэдэн жил төмрийн дархан байгаад 1952 оноос механикч болжээ.
Та нар залуу улсад сургаж зааж өг гэж хэлээд тэднийг уран дархан учир буцаасан бичиг шагнал хүртээж явууллаа.
- Хумсын чинээ ч алдалгүй гагнадаг нарийн дархан манай Гүнтэв гуай шиг хүн.
- Бас модоч дархан Гүчүгүрт өгөх иргэн дутагдсан.
- Үхрийн аман хүзүүг тусгайлан зан үйлийн зориулалттайгаар мал нядлаач “дархан "				[sound:32455.mp3]	1795	32455
хэрэв	unless	 Хэрэв чи тарилга хийхэд хүрвэл зүү 	хэрэв тийм бол	if that is so	<p>хэрэв тийм бол: if that is so</p>	[sound:120571.mp3]	1789	120571
дараах	following	"- Хатан хүнд гурван эр бий. Анхны эр нь алтан төр, түүний дараах нь авсан эр мөн.
- Хорь гучин жилийн дараах юмны төлөө ингэж зүтгэж явдаг "	татварын дараах ашгийн дундаж норм	average post tax profit rate	<p>дараах салхи: a following wind</p><p>дараах салхи: a following wind</p><p>дипломын дараах сургалт: post graduate studies</p><p>татварын дараах ашгийн дундаж норм: average post tax profit rate</p>	[sound:31925.mp3]	1787	31925
хариуцлага	liability	 - Төрийн бүх шатны байгууллага, албан хаагчдыг хамарсан хариуцлагын тогтолцоог төлөвшүүлнэ.	хамтын хариуцлага	sharing of responsibility	<p>өр төлбөрийн хариуцлага: liability for debts</p><p>хадгалалтын хариуцлага: responsibility for storage</p><p>хадгалалтын хариуцлага: bear responsibility for storage</p><p>хамтын хариуцлага: sharing of responsibility</p>	[sound:106851.mp3]	1782	106851
тонн	tonne	Өнгөрсөн хавар тэд таван тонн гурил тээрэмджээ.				[sound:87220.mp3]	1779	87220
улам	further	"Шарх улам өвчин орж даарч, дагжихыг өгүүлэх юун.
Зэвсэг уулзуулан тэмцэж Томногийн цэргийг дарагтун, улам улам тулан чадахгүй ухран үүсгэв.
Улам улмаар хүч хүрэлцэхгүй бүхийд гурван этгээдээс хамтаар буу дуурсан, хэнгэрэг дэлдэж гурван анги их цэрэг бүгсэн газраас цугаар гарч ирэв.
Анх гэминд хорссон гашуун зовлонгийн улмаас ардын ном нийтэлж байжээ. "	улам нэмэгдэн	more and more	<p>улам нэмэгдэн: more and more</p>	[sound:95341.mp3]	1774	95341
дотоод	domestic	"- Өвгөн гарынхаа тосыг дотоод хормойдоо яаралгүйхэн арчина.
- Энэ хүн дотоод явдлын яаманд байсан хүн гэлээ."	дотоод хэсэг	the inward section	<p>дотоод хэрэгт хөндлөнгөөс оролцох: to interfere into domestic affairs</p><p>дотоод хэрэгт үл оролцох: non-intervention into domestic affairs</p><p>улс орны дотоод хэргүүд: domestic affairs of a country</p><p>дотоод шүүрлийн булчирхай: glands of internal secretion</p><p>өгөөжийн дотоод түвшин: internal rate of return</p><p>дотоод асуудал: internal affairs</p><p>дотоод хүрээ: the inner circle</p><p>дотоод сэтгэл: inner man</p><p>дотоод хагарал: inner tension</p><p>дотоод сүлжээ: local area network</p><p>Хурдан Дотоод Интернетийн Протокол: Fast Local Internet Protocol</p><p>өрсөлдөөнт дотоод солилцооны дамжуулагч: competitive local exchange carrier</p><p>сайжруулсан дотоод гарцын чиглүүлэх протокол: EIGRP or Enhanced Interior Gateway Routing Protocol</p><p>дотоод гарцын протокол: Interior Gateway Protocol</p><p>лус орны дотоод хэрэг: the country's interior affairs</p><p>дотоод хэсэг: the inward section</p>	[sound:34340.mp3]	1774	34340
есдүгээр	ninth	- Бор таар нь хавар эрт ургаж эхлэх ба наймдугаар сард цэцэглэж, есдүгээр сард гандаж эхэлнэ.				[sound:39653.mp3]	1773	39653
тун	very		түүнтэй уулзахыг тэд тун их хүсдэг	they want to see her very badly	<p>Түүнтэй уулзахыг тэд тун их хүсдэг: They want to see her very badly</p><p>тун хянуур байх: to be very careful</p><p>хэт их тун: a massive dose</p><p>хорны үхлийн тун: a fatal dose of poison</p><p>Түүнтэй уулзахыг тэд тун их хүсдэг: They want to see her very badly</p>	[sound:89617.mp3]	1758	89617
тусгаарлах	to separate	Эрлийз хонь эрт ширгэдэг учраас хургыг эрт тусгаарлаж 	ханыг тусгаарлах	to insulate the walls	<p>шашин төрийг тусгаарлах: to separate the church from the state</p><p>хоёр талбайг хашаагаар тусгаарлах: to separate two fields by a fence</p><p>төр шашныг тусгаарлах: to separate religion from the state</p><p>өөрийгөө ертөнцөөс тусгаарлах: to sequester oneself from the world</p><p>арьсны өнгөөр ялгаварлан тусгаарлах бодлого: a policy of racial segregation</p><p>халдварт өвчтэй хүмүүсийг тусгаарлах: to people with segregate diseases</p><p>хүйсээр нь тусгаарлах: to segregate the sexes</p><p>өөрийгөө нийгмээс тусгаарлах: to seclude oneself from society</p><p>өвчтөнийг тусгаарлах: the isolation of the patient</p><p>ханыг тусгаарлах: to insulate the walls</p>	[sound:90115.mp3]	1738	90115
дор	beneath	"Амьсгаа нь тасалдаад хоолой нь чичрээд,  ангидаа дуулж байдгаас 
- Та нартай би уулзсан дороо очиж хэлсэн.
- Ер бусдын дор орохгүй гэдэг нь нэг үзэл ч юм уу, аль зан нь ч юм уу, Норовын "	задгай тэнгэрийн дор	under the open sky	<p>дарангуйллын дор амьдрах: to live beneath tyranny</p><p>хясааны дор: beneath a cliff</p><p>модны дор: beneath a tree</p><p>бодсоноос дор гэдгийг нь нотлох: cut down to size</p><p>дор үлдэх: to remain below</p><p>газар дор: below ground</p><p>нарт тэнгэрийн дор: under sunny skies</p><p>хатуу хяналтын дор: under the thumb of</p><p>задгай тэнгэрийн дор: under the open sky</p>	[sound:34015.mp3]	1736	34015
амжилттай	well	Амжилттай сайн суралцаад ирлээ.	санал хураалтад амжилттай оролцох	to be successful at the poll	<p>Амжилттай төслийн арга: Successful efforts approach</p><p>санал хураалтад амжилттай оролцох: to be successful at the poll</p>	[sound:4741.mp3]	1731	4741
эрсдэл	chance		хүүгийн түвшний эрсдэл	interest rate risk	<p>эрсдэл хийх: chance one's arms</p><p>эрсдэл гаргах: risk one's neck</p><p>урьдчилан тооцохын аргагүй эрсдэл: an incalculable risk</p><p>хүүгийн түвшний эрсдэл: interest rate risk</p>	[sound:137004.mp3]	1728	137004
шилдэг	distinction	"Шилдэг бүтээлд шамдан 
Өдийд гурван зуун шилдэг цэрэг ирүүлсэн байх учиртай."				[sound:131930.mp3]	1726	131930
өдгөө	nowadays					[sound:70992.mp3]	1726	70992
доллар	buck					[sound:33493.mp3]	1724	33493
гэв	drop from the clouds	"- Эдүгээ гэв гэнэт юу хийж цэрэг 
- Гэв гэгээн туяа чинь юутай хол сацарна."				[sound:27613.mp3]	1721	27613
бүтээгдэхүүн	make	- Нэгдлээс гишүүддээ өгсөн хүнсний бүтээгдэхүүнд идэшний ногоо, байцаа, төмс орсон байлаа.	шинэ бүтээгдэхүүн	new product line	<p>шинэ бүтээгдэхүүн: new product line</p><p>багц бүтээгдэхүүн: lot of product</p><p>экологийн цэвэр бүтээгдэхүүн: ecologically clean product</p><p>бүтээгдэхүүн үйлдвэрлэл: production of commodities</p><p>олон нэр төрлийн бүтээгдэхүүн үйлдвэрлэх: diversification of the production</p><p>бүтээгдэхүүн ихэсгэх: to gear up production</p><p>бэлэн бүтээгдэхүүн: goods available for sale</p><p>захиалагчийн материалаар хийсэн бүтээгдэхүүн: goods made on commission</p><p>үйлдвэрийн аргаар бүтээгдэхүүн үйлдвэрлэх: the production of manufactured goods</p><p>нэгж бүтээгдэхүүн: unit of output</p><p>шинэ бүтээгдэхүүн: new product line</p>	[sound:19670.mp3]	1719	19670
